id,name
72," Keeney's Office Supply, Inc."
58,abcam
41,Absolute Antibody
47,Acros Organics
8,Addgene
16,Affymetrix
19,Agilent
82,AMERICAN TYPE CULTURE COLLECTION
80,Apex Bio
57,ATCC
50,AttainIt
35,BD
42,Beckman Coulter
84,Bethyl Labs
3,Bio-Rad
89,Biocomp
76,Biolegend
83,Biosynth
18,Biotang
53,BioVision
24,Bioworld
22,Carolina Biological Supply Co.
61,Cayman Chemical
44,Cedarlane Labs
51,Cell Signaling Technology 
37,Cole-Parmer
30,COMPLETE OFFICE
49,"DOT SCIENTIFIC, INC"
7,ebay
67,Electon Microscopy Sciences
36,ELLSWORTH ADHESIVES
77,enzymax
27,epicentre
59,EURx
9,Fisher
39,fotronic corporation
11,Fred Hutch Stock Room
28,GE Dharmacon
60,Geballe lab
13,Genesee Scientific
75,Genscript
23,Gold Biotechnology
65,"Government Scientific Source, Inc"
52,IDT
54,Illumina
5,Ingex LLC
74,Integra Biosciences Corp
31,Interlight
32,Licor
20,Life Sciences Products
17,Life Technologies
26,Light Laboratory Systems
62,Lonza
56,Lucigen
10,MAIROS INC DBA KEENEY'S OFFICE SUPPLY IN
81,Medchemexpress
48,Medline
87,MP Bio
4,NEB
73,"Neta Scientific, Inc."
38,new england Small Tube Corporation
70,Office Depot
43,Office Max
46,PartsSource
55,PBL Assay Science
45,PerkinElmer
64,Polysciences
40,Promega
86,Proteintech
15,Research Products International
63,Santa Cruz Biotech
25,Sarstedt
85,Selleck Chem
14,Sigma Aldrich
21,Spectrum Laboratory Products
33,Sper Scientific Direct
79,Takara
71,Technology Integration Group (TIG)
68,Teknova
69,"THOMAS SCIENTIFIC, INC"
66,"Thorlabs, Inc."
12,USA Scientific
2,VWR
78,"W.W. Grainger, Inc."
34,World Precision Instruments
29,wpi-europe.com
6,Zymo Research
